scheme_name,category,alpha,beta,r_squared
SBI Small Cap Fund - Regular Plan - Growth,Equity,0.3034,-0.023,0.0
DSP Small Cap Fund - Regular - Growth,Equity,0.3006,0.011,0.0
ICICI Pru Midcap Fund - Regular - Growth,Equity,0.2926,0.001,0.0
Mirae Asset Tax Saver Fund - Regular - Growth,Equity,0.2827,0.018,0.0
Kotak Flexicap Fund - Regular - Growth,Equity,0.2733,-0.023,0.0
HDFC Mid-Cap Opportunities Fund - Regular - Growth,Equity,0.272,0.005,0.0
Mirae Asset Large Cap Fund - Regular - Growth,Equity,0.2698,0.024,0.0
DSP Midcap Fund - Regular - Growth,Equity,0.266,-0.003,0.0
Axis Midcap Fund - Regular - Growth,Equity,0.2608,-0.066,0.002
SBI Bluechip Fund - Regular Plan - Growth,Equity,0.232,-0.032,0.001
Nippon India Large Cap Fund - Regular - Growth,Equity,0.2183,-0.008,0.0
ABSL Frontline Equity Fund - Regular - Growth,Equity,0.214,0.021,0.0
ICICI Pru Bluechip Fund - Direct - Growth,Equity,0.2119,0.016,0.0
Mirae Asset Emerging Bluechip Fund - Regular - Growth,Equity,0.2087,-0.026,0.0
SBI Bluechip Fund - Direct Plan - Growth,Equity,0.1987,-0.026,0.001
HDFC Top 100 Fund - Direct Plan - Growth,Equity,0.1773,0.049,0.002
ICICI Pru Bluechip Fund - Regular - Growth,Equity,0.177,-0.04,0.001
Nippon India Small Cap Fund - Regular - Growth,Equity,0.175,0.103,0.003
UTI Nifty 50 Index Fund - Regular - Growth,Equity,0.1705,-0.019,0.0
ICICI Pru Value Discovery Fund - Regular - Growth,Equity,0.1625,0.042,0.001
UTI Flexi Cap Fund - Regular - Growth,Equity,0.1621,0.017,0.0
Nippon India Large Cap Fund - Direct - Growth,Equity,0.1564,-0.037,0.001
Nippon India ETF Nifty 50 BeES,Equity,0.1514,-0.001,0.0
DSP Top 100 Equity Fund - Regular - Growth,Equity,0.1317,-0.004,0.0
Kotak Bluechip Fund - Regular - Growth,Equity,0.1304,0.036,0.001
HDFC Mid-Cap Opportunities Fund - Direct - Growth,Equity,0.1199,0.009,0.0
ABSL Small Cap Fund - Regular - Growth,Equity,0.109,-0.065,0.001
Axis Bluechip Fund - Direct - Growth,Equity,0.0823,0.026,0.001
Kotak Emerging Equity Fund - Regular - Growth,Equity,0.078,0.018,0.0
Axis Bluechip Fund - Regular - Growth,Equity,0.069,0.01,0.0
ICICI Pru Liquid Fund - Regular - Growth,Debt,0.0675,-0.0,0.0
Kotak Liquid Fund - Regular - Growth,Debt,0.0646,-0.0,0.0
ABSL Liquid Fund - Regular - Growth,Debt,0.0609,0.0,0.0
SBI Magnum Gilt Fund - Regular Plan - Growth,Debt,0.0562,-0.006,0.0
Nippon India Gilt Securities Fund - Regular - Growth,Debt,0.0507,0.001,0.0
SBI Small Cap Fund - Direct Plan - Growth,Equity,0.0488,0.062,0.001
Axis Small Cap Fund - Regular - Growth,Equity,0.048,-0.067,0.001
HDFC Short Term Debt Fund - Regular - Growth,Debt,0.0428,0.001,0.0
HDFC Top 100 Fund - Regular Plan - Growth,Equity,0.0375,-0.058,0.003
UTI Mid Cap Fund - Regular - Growth,Equity,0.029,-0.042,0.001
