scheme_name,category,return_3yr_pct,sharpe,alpha,expense_ratio_pct,max_drawdown_pct,score
ICICI Pru Midcap Fund - Regular - Growth,Equity,18.08,1.18,0.2926,1.36,-18.19,80.0
Kotak Flexicap Fund - Regular - Growth,Equity,15.65,1.307,0.2733,1.45,-12.97,79.0
HDFC Mid-Cap Opportunities Fund - Regular - Growth,Equity,16.58,1.094,0.272,1.38,-16.22,76.2
SBI Small Cap Fund - Regular Plan - Growth,Equity,23.39,0.945,0.3034,1.43,-28.71,75.6
Mirae Asset Large Cap Fund - Regular - Growth,Equity,14.81,1.448,0.2698,1.46,-11.27,75.0
DSP Small Cap Fund - Regular - Growth,Equity,20.08,0.95,0.3006,1.52,-31.17,69.7
DSP Midcap Fund - Regular - Growth,Equity,17.16,1.132,0.266,1.61,-17.25,68.2
ICICI Pru Bluechip Fund - Direct - Growth,Equity,14.41,1.027,0.2119,0.8,-12.59,67.6
Axis Midcap Fund - Regular - Growth,Equity,15.18,0.998,0.2608,1.38,-20.96,66.5
Mirae Asset Tax Saver Fund - Regular - Growth,Equity,13.58,1.235,0.2827,1.6,-16.4,62.4
Nippon India Large Cap Fund - Regular - Growth,Equity,14.0,1.082,0.2183,1.51,-17.41,61.3
SBI Bluechip Fund - Regular Plan - Growth,Equity,12.36,1.208,0.232,1.54,-15.01,59.8
ABSL Frontline Equity Fund - Regular - Growth,Equity,13.78,1.027,0.214,1.6,-11.29,58.1
SBI Bluechip Fund - Direct Plan - Growth,Equity,11.3,0.953,0.1987,0.66,-11.8,57.8
Mirae Asset Emerging Bluechip Fund - Regular - Growth,Equity,14.56,0.926,0.2087,1.52,-15.27,57.2
HDFC Top 100 Fund - Direct Plan - Growth,Equity,13.38,0.776,0.1773,0.92,-15.2,55.5
Nippon India Small Cap Fund - Regular - Growth,Equity,20.15,0.448,0.175,1.53,-23.34,54.8
ICICI Pru Value Discovery Fund - Regular - Growth,Equity,14.76,0.649,0.1625,1.41,-19.83,52.6
HDFC Mid-Cap Opportunities Fund - Direct - Growth,Equity,15.29,0.301,0.1199,0.78,-21.12,51.1
SBI Small Cap Fund - Direct Plan - Growth,Equity,23.14,-0.057,0.0488,0.72,-52.57,50.9
Nippon India Large Cap Fund - Direct - Growth,Equity,12.33,0.645,0.1564,0.72,-18.63,49.6
ABSL Small Cap Fund - Regular - Growth,Equity,22.38,0.163,0.109,1.53,-35.45,49.1
Nippon India ETF Nifty 50 BeES,Equity,11.77,0.665,0.1514,0.89,-11.65,47.8
ICICI Pru Bluechip Fund - Regular - Growth,Equity,11.54,0.798,0.177,1.42,-13.9,47.6
UTI Flexi Cap Fund - Regular - Growth,Equity,15.34,0.62,0.1621,1.64,-21.54,46.2
UTI Nifty 50 Index Fund - Regular - Growth,Equity,12.1,0.817,0.1705,1.57,-10.86,46.0
Axis Small Cap Fund - Regular - Growth,Equity,20.98,-0.076,0.048,1.38,-51.68,44.2
ICICI Pru Liquid Fund - Regular - Growth,Debt,7.68,0.496,0.0675,0.74,-0.1,43.5
Kotak Emerging Equity Fund - Regular - Growth,Equity,18.23,0.076,0.078,1.56,-24.0,43.4
DSP Top 100 Equity Fund - Regular - Growth,Equity,12.82,0.464,0.1317,1.54,-14.84,40.7
Axis Bluechip Fund - Direct - Growth,Equity,12.14,0.13,0.0823,0.75,-21.75,37.9
Kotak Liquid Fund - Regular - Growth,Debt,6.18,-0.089,0.0646,0.6,-0.12,35.9
Kotak Bluechip Fund - Regular - Growth,Equity,12.25,0.494,0.1304,1.59,-17.57,34.9
UTI Mid Cap Fund - Regular - Growth,Equity,15.61,-0.206,0.029,1.51,-28.0,33.1
HDFC Short Term Debt Fund - Regular - Growth,Debt,7.37,-0.567,0.0428,0.56,-4.31,30.4
Nippon India Gilt Securities Fund - Regular - Growth,Debt,5.31,-0.357,0.0507,0.55,-8.32,30.1
SBI Magnum Gilt Fund - Regular Plan - Growth,Debt,6.07,-0.227,0.0562,0.77,-4.33,29.2
HDFC Top 100 Fund - Regular Plan - Growth,Equity,14.84,-0.202,0.0375,1.55,-24.73,28.6
Axis Bluechip Fund - Regular - Growth,Equity,11.84,0.031,0.069,1.64,-14.4,26.3
ABSL Liquid Fund - Regular - Growth,Debt,5.14,-0.816,0.0609,0.79,-0.16,26.1
