amfi_code,sharpe,sortino,scheme_name,category,sharpe_rank
148567,1.448,2.386,Mirae Asset Large Cap Fund - Regular - Growth,Equity,1.0
120843,1.307,2.364,Kotak Flexicap Fund - Regular - Growth,Equity,2.0
148569,1.235,2.147,Mirae Asset Tax Saver Fund - Regular - Growth,Equity,3.0
119551,1.208,2.14,SBI Bluechip Fund - Regular Plan - Growth,Equity,4.0
120505,1.18,2.029,ICICI Pru Midcap Fund - Regular - Growth,Equity,5.0
149323,1.132,1.875,DSP Midcap Fund - Regular - Growth,Equity,6.0
100033,1.094,1.829,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Equity,7.0
118632,1.082,1.85,Nippon India Large Cap Fund - Regular - Growth,Equity,8.0
101206,1.027,1.8,ABSL Frontline Equity Fund - Regular - Growth,Equity,9.5
120504,1.027,1.805,ICICI Pru Bluechip Fund - Direct - Growth,Equity,9.5
119094,0.998,1.704,Axis Midcap Fund - Regular - Growth,Equity,11.0
119552,0.953,1.61,SBI Bluechip Fund - Direct Plan - Growth,Equity,12.0
149324,0.95,1.62,DSP Small Cap Fund - Regular - Growth,Equity,13.0
119598,0.945,1.675,SBI Small Cap Fund - Regular Plan - Growth,Equity,14.0
148568,0.926,1.633,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Equity,15.0
102885,0.817,1.436,UTI Nifty 50 Index Fund - Regular - Growth,Equity,16.0
120503,0.798,1.338,ICICI Pru Bluechip Fund - Regular - Growth,Equity,17.0
125497,0.776,1.331,HDFC Top 100 Fund - Direct Plan - Growth,Equity,18.0
118635,0.665,1.138,Nippon India ETF Nifty 50 BeES,Equity,19.0
120506,0.649,1.096,ICICI Pru Value Discovery Fund - Regular - Growth,Equity,20.0
118633,0.645,1.154,Nippon India Large Cap Fund - Direct - Growth,Equity,21.0
102887,0.62,1.089,UTI Flexi Cap Fund - Regular - Growth,Equity,22.0
120507,0.496,1.052,ICICI Pru Liquid Fund - Regular - Growth,Debt,23.0
120841,0.494,0.863,Kotak Bluechip Fund - Regular - Growth,Equity,24.0
149322,0.464,0.762,DSP Top 100 Equity Fund - Regular - Growth,Equity,25.0
118634,0.448,0.746,Nippon India Small Cap Fund - Regular - Growth,Equity,26.0
125498,0.301,0.509,HDFC Mid-Cap Opportunities Fund - Direct - Growth,Equity,27.0
101207,0.163,0.277,ABSL Small Cap Fund - Regular - Growth,Equity,28.0
119093,0.13,0.221,Axis Bluechip Fund - Direct - Growth,Equity,29.0
120842,0.076,0.125,Kotak Emerging Equity Fund - Regular - Growth,Equity,30.0
119092,0.031,0.053,Axis Bluechip Fund - Regular - Growth,Equity,31.0
119599,-0.057,-0.094,SBI Small Cap Fund - Direct Plan - Growth,Equity,32.0
119095,-0.076,-0.128,Axis Small Cap Fund - Regular - Growth,Equity,33.0
120844,-0.089,-0.188,Kotak Liquid Fund - Regular - Growth,Debt,34.0
100016,-0.202,-0.351,HDFC Top 100 Fund - Regular Plan - Growth,Equity,35.0
102886,-0.206,-0.347,UTI Mid Cap Fund - Regular - Growth,Equity,36.0
119120,-0.227,-0.377,SBI Magnum Gilt Fund - Regular Plan - Growth,Debt,37.0
118636,-0.357,-0.614,Nippon India Gilt Securities Fund - Regular - Growth,Debt,38.0
100025,-0.567,-0.942,HDFC Short Term Debt Fund - Regular - Growth,Debt,39.0
101208,-0.816,-1.681,ABSL Liquid Fund - Regular - Growth,Debt,40.0
